traditional	simplified	pinyin	translation_fr-FR
一號	一号	yi1 hao4	"premier jour du mois"
一號坦克	一号坦克	yi1 hao4 tan3 ke4	"char Panzer I"
一同	一同	yi1 tong2	"ensemble__en compagnie de__avec"
一名	一名	yi1 ming2	"une personne"
一向	一向	yi1 xiang4	"de tout temps"
一吹	一吹	yi1 chui1	"souffle"
一吻定江山	一吻定江山	yi1 wen3 ding4 jiang1 shan1	"Collège Attitude (film)"
一周	一周	yi1 zhou1	"une semaine__huitaine__cycle complet"
一味	一味	yi1 wei4	"simplement__toujours__continuellement"
一品	一品	yi1 pin3	"superbe__de premier ordre__le plus haut rang (des fonctionnaires de l'époque impériale)"
一鬨而散	一哄而散	yi1 hong4 er2 san4	"se disperser en faisant du tapage__se disperser comme une volée de moineaux__se disperser dans un grand tapage"
一哄而散	一哄而散	yi1 hong1 er2 san4	"(expr. idiom.) se disperser dans la confusion"
一哭二鬧三上吊	一哭二闹三上吊	yi1 ku1 er4 nao4 san1 shang4 diao4	"(expr. idiom.) faire une scène terrible__piquer une crise"
一唱一和	一唱一和	yi1 chang4 yi1 he4	"(expr. idiom.) faire écho à l'autre"
一回事	一回事	yi1 hui2 shi4	"une chose__le même que"
一團	一团	yi1 tuan2	"agglomération"
一團亂糟	一团乱糟	yi1 tuan2 luan4 zao1	"désordre chaotique"
一國兩制	一国两制	yi1 guo2 liang3 zhi4	"Un pays, deux systèmes"
一場空	一场空	yi1 chang3 kong1	"vain__effort inutile__espoirs déçus"
一場空	一场空	yi1 chang2 kong1	"futile"
一塊	一块	yi1 kuai4	"morceau"
一塊兒	一块儿	yi1 kuai4 r	"ensemble__au même endroit"
一堆	一堆	yi1 dui1	"pile__ramassis__agglomération"
一塌糊塗	一塌糊涂	yi1 ta1 hu2 tu5	"(expr. idiom.) pagaille__désordre__en bazar__dans un état affreux"
一聲	一声	yi1 sheng1	"premier ton (en mandarin) (ton haut et plat)__un son__spécificatif : un coup (de canon)"
一夔已足	一夔已足	yi1 kui2 yi3 zu2	"(expr. idiom.) une personne de talent est suffisante__un seul suffit"
一夕	一夕	yi1 xi1	"immédiatement__très rapidement"
一夕數驚	一夕数惊	yi1 xi1 shu4 jing1	"(expr. idiom.) une alerte après l'autre__dans un état constant de tension"
一夜爆紅	一夜爆红	yi1 ye4 bao4 hong2	"devenir populaire du jour au lendemain"
一夜風流	一夜风流	yi1 ye4 feng1 liu2	"New York-Miami (film)"
一大早	一大早	yi1 da4 zao3	"à l'aube__aux premières lueurs du jour"
一天	一天	yi1 tian1	"un jour"
一天到晚	一天到晚	yi1 tian1 dao4 wan3	"toute la journée__du matin au soir"
一夫多妻	一夫多妻	yi1 fu1 duo1 qi1	"polygamie"
一夫多妻製	一夫多妻制	yi1 fu1 duo1 qi1 zhi4	"polygamie"
一頭	一头	yi1 tou2	"directement__la tête la première"
一套	一套	yi1 tao4	"batterie (cuisine, etc.)__suite__ensemble (n.m.)"
一如	一如	yi1 ru2	"comme"
一如往常	一如往常	yi1 ru2 wang3 chang2	"comme d'habitude"
一如既往	一如既往	yi1 ru2 ji4 wang3	"(expr. idiom.) tout comme dans le passé__éternel__comme avant__comme toujours"
一字	一字	yi1 zi4	"dans une rangée__en ligne__aligné"
一字不差	一字不差	yi1 zi4 bu4 cha1	"mot pour mot__textuellement"
一字不漏	一字不漏	yi1 zi4 bu4 lou4	"sans manquer un mot"
一字不識	一字不识	yi1 zi4 bu4 shi2	"(expr. idiom.) être incapable de distinguer le bon du mauvais__illettré__analphabète"
一字之師	一字之师	yi1 zi4 zhi1 shi1	"(expr. idiom.) le maître du caractère ou du mot__(fig.) celui qui change et améliore un caractère ou un mot de ton texte devient ton maître du caractère ou maître du mot"
一定	一定	yi1 ding4	"certainement__sûrement__certain__déterminé__fixe"
一定會	一定会	yi1 ding4 hui4	"sûrement__très certainement"
一定要	一定要	yi1 ding4 yao4	"il faut"
一審	一审	yi1 shen3	"première instance (en droit)"
一家	一家	yi1 jia1	"toute la famille__la même famille"
一對	一对	yi1 dui4	"couple__paire__duo"
一小時	一小时	yi1 xiao3 shi2	"une heure (durée)"
一塵不染	一尘不染	yi1 chen2 bu4 ran3	"(expr. idiom.) désintéressé et incorruptible__impeccable"
一局	一局	yi1 ju2	"partie"
一層	一层	yi1 ceng2	"couche (strate)"
一己	一己	yi1 ji3	"soi-même"
一巴掌	一巴掌	yi1 ba1 zhang3	"claque"
一帆風順	一帆风顺	yi1 fan1 feng1 shun4	"(expr. idiom.) avoir le vent favorable__aller comme sur des roulettes__avoir le vent en poupe__Bon voyage!"
一帶	一带	yi1 dai4	"région__district__zone"
一帶一路	一带一路	Yi1 dai4 Yi1 lu4	"nouvelle route de la soie__la Ceinture et la Route"
一席之地	一席之地	yi1 xi2 zhi1 di4	"un lieu pour soi-même__niche"
一席話	一席话	yi1 xi2 hua4	"teneur de la conversation__mots__remarques"
一幫	一帮	yi1 bang1	"un groupe de__une clique de__une bande de"
一干	一干	yi1 gan1	"complètement__tout à fait__parfaitement__purement et simplement"
一乾二淨	一干二净	yi1 gan1 er4 jing4	"(expr. idiom.) complètement__tout à fait__parfaitement__purement et simplement"
一年半	一年半	yi1 nian2 ban4	"un an et demi"
一年四季	一年四季	yi1 nian2 si4 ji4	"les quatre saisons de l'année"
一年多	一年多	yi1 nian2 duo1	"plus d'un an"
一年級	一年级	yi1 nian2 ji2	"première année de l'école primaire"
一年蓬	一年蓬	yi1 nian2 peng2	"vergerette annuelle (plante)"
一併	一并	yi1 bing4	"entièrement__ensemble"
一應俱全	一应俱全	yi1 ying1 ju4 quan2	"avec tout le nécessaire disponible"
一度	一度	yi1 du4	"une fois__en un moment__pour un temps"
一張	一张	yi1 zhang1	"feuille"
一張紙	一张纸	yi1 zhang1 zhi3	"une feuille de papier"
一彈指頃	一弹指顷	yi1 tan2 zhi3 qing3	"(expr. idiom.) un claquement de doigts__en un flash__en un clin d'oeil"
一律	一律	yi1 lu:4	"égal__uniforme__sans exception"
一心	一心	yi1 xin1	"de tout coeur__corps et âme__être du même avis__être d'accord"
一心一德	一心一德	yi1 xin1 yi1 de2	"(expr. idiom.) d'un seul coeur et d'une seule âme"
一心一意	一心一意	yi1 xin1 yi1 yi4	"(expr. idiom.) de tout son coeur__dans un but commun__à la recherche du même idéal__attentivement"
一意孤行	一意孤行	yi1 yi4 gu1 xing2	"n'en faire qu'à sa tête__s'obstiner__aller jusqu'au bout envers et contre tout"
一成不變	一成不变	yi1 cheng2 bu4 bian4	"(expr. idiom.) rien ne change beaucoup__toujours pareil__immobile__statique__immuable"
一手	一手	yi1 shou3	"compétence__par soi-même__sans aide extérieure"
一打	一打	yi1 da2	"douzaine"
一批	一批	yi1 pi1	"un corpus__un groupe__un ensemble__une série__une panoplie__un éventail de...__plusieurs"
一把	一把	yi1 ba3	"un (classificateur pour les couteaux, etc.)"
一把好手	一把好手	yi1 ba3 hao3 shou3	"expert"
一把屎一把尿	一把屎一把尿	yi1 ba3 shi3 yi1 ba3 niao4	"(expr. idiom.) avoir enduré toutes sortes de difficultés (à élever un enfant)"
一把手	一把手	yi1 ba3 shou3	"participant à une activité__personne capable"
一把抓	一把抓	yi1 ba3 zhua1	"essayer de réaliser toutes les tâches à la fois__gérer chaque détail sans tenir compte de son importance"
一把眼淚一把鼻涕	一把眼泪一把鼻涕	yi1 ba3 yan3 lei4 yi1 ba3 bi2 ti4	"(expr. idiom.) le visage couvert de larmes"
一抓一大把	一抓一大把	yi1 zhua1 yi1 da4 ba3	"à la pelle__énormément de"
一抿子	一抿子	yi1 min3 zi5	"un peu"
一拍即合	一拍即合	yi1 pai1 ji2 he2	"(expr. idiom.) être d'emblée à l'unisson__être en mesure du premier coup__bien s'entendre de manière immédiate__se plaire au premier coup d'oeil"
一擁而上	一拥而上	yi1 yong1 er2 shang4	"se précipiter sur__affluer vers__se ruer__se presser"
一排	一排	yi1 pai2	"rangée"
一改故轍	一改故辙	yi1 gai3 gu4 zhe2	"(expr. idiom.) abandonner résolument le vieux chemin__sortir de l'ornière__corriger le tir__changer son fusil d'épaule__prendre un nouveau départ__s'engager dans une nouvelle direction"
一斑	一斑	yi1 ban1	"(lit.) une tache (d'un léopard)__une seule petite chose dans un grand tableau"
一方	一方	yi1 fang1	"une partie (dans un contrat ou un cas juridique)__un côté__zone__région"
一方面	一方面	yi1 fang1 mian4	"d'une part...d'autre part__d'un côté"
一旁	一旁	yi1 pang2	"côté__du côté de"
一族	一族	yi1 zu2	"groupe social__sous-culture__famille__clan"
一無	一无	yi1 wu2	"entièrement__tout à fait"
一無所有	一无所有	yi1 wu2 suo3 you3	"(expr. idiom.) dépossédé__être dans un extrême dénuement__ne rien posséder au monde"
一無所知	一无所知	yi1 wu2 suo3 zhi1	"(expr. idiom.) qui ne sait rien du tout__complètement ignorant"
一無是處	一无是处	yi1 wu2 shi4 chu4	"pas un seul bon point__tout y est mauvais"
一日	一日	yi1 ri4	"un jour__un beau jour"
一日三秋	一日三秋	yi1 ri4 san1 qiu1	"(expr. idiom.) une seule journée semble durer trois saisons"
一日三餐	一日三餐	yi1 ri4 san1 can1	"avoir trois repas par jour"
一日不如一日	一日不如一日	yi1 ri4 bu4 ru2 yi1 ri4	"être de pire en pire"
一旦	一旦	yi1 dan4	"une fois que__aussitôt que__si jamais__en un jour"
一早	一早	yi1 zao3	"de bonne heure__de bon matin"
一時	一时	yi1 shi2	"pendant une période__temporairement__pour le moment__accidentellement__par hasard__tantôt... tantôt..."
一時間	一时间	yi1 shi2 jian1	"pour un moment__momentanément"
一晃	一晃	yi1 huang3	"en un instant__en un éclair"
一月	一月	Yi1 yue4	"janvier__premier mois lunaire"
一望無垠	一望无垠	yi1 wang4 wu2 yin2	"(expr. idiom.) s'étendre aussi loin que porte le regard__s'étendre à perte de vue"
一望無際	一望无际	yi1 wang4 wu2 ji4	"(expr. idiom.) à perte de vue__sans fin"
一朝	一朝	yi1 zhao1	"du jour au lendemain__dans un court laps de temps__en un jour"
一朝一夕	一朝一夕	yi1 zhao1 yi1 xi1	"(expr. idiom.) un matin et un soir__en un jour__(fig.) pendant un court laps de temps__du jour au lendemain"
一本正經	一本正经	yi1 ben3 zheng4 jing1	"se composer un visage sévère__être collet monté__affecter de la gravité et du sérieux"
一條生路	一条生路	yi1 tiao2 shang1 lu4	"issue de sortie (à une situation difficile)"
一條道走到黑	一条道走到黑	yi1 tiao2 dao4 zou3 dao4 hei1	"s'en tenir à ses voies"
一條龍	一条龙	yi1 tiao2 long2	"(lit.) un dragon__chaine intégrée__procédé coordonné"
一條龍服務	一条龙服务	yi1 tiao2 long2 fu2 wu4	"service à guichet unique"
一來	一来	yi1 lai2	"d'une part, ..."
一板一眼	一板一眼	yi1 ban3 yi1 yan3	"(expr. idiom.) suivre des instructions à la lettre__méthodique__(porter) une attention toute particulière aux détails"
一板三眼	一板三眼	yi1 ban3 san1 yan3	"(expr. idiom.) suivre des instructions à la lettre"
一枝獨秀	一枝独秀	yi1 zhi1 du2 xiu4	"(expr. idiom.) une seule tige a donné une fleur__(fig.) hors du commun__hors pair__qui sort du rang__qui se démarque__d'une supériorité évidente"
一樣	一样	yi1 yang4	"même__pareil__semblable__ressemblant"
一橋大學	一桥大学	yi1 qiao2 da4 xue2	"Université Hitotsubashi (Tokyo)"
一樓	一楼	yi1 lou2	"rez-de-chaussée"
一概	一概	yi1 gai4	"totalement__sans exception"
一模一樣	一模一样	yi1 mu2 yi1 yang4	"(expr. idiom.) exactement le même__copie carbone__copie conforme__égal__idem"
一次	一次	yi1 ci4	"une fois"
一次又一次	一次又一次	yi1 ci4 you4 yi1 ci4	"à plusieurs reprises__encore et encore"
一次式	一次式	yi1 ci4 shi4	"expression du premier degré__expression linéaire"
一次性	一次性	yi1 ci4 xing4	"qui ne sert qu'une fois__temporaire__jetable"
一次性餐具	一次性餐具	yi1 ci4 xing4 can1 ju4	"vaisselle jetable"
一步	一步	yi1 bu4	"(un seul) pas"
一步到位	一步到位	yi1 bu4 dao4 wei4	"régler une question en une seule fois"
一氣	一气	yi1 qi4	"d'un coup__d'une traite__d'un trait__du même acabit__de mèche__de connivence__de même goût__accès de colère__consécutivement"
一氣呵成	一气呵成	yi1 qi4 he1 cheng2	"faire qch d'un seul coup__couler en douceur__se passer sans accroc"
一氧化碳	一氧化碳	yi1 yang3 hua4 tan4	"monoxyde de carbone"
一水兒	一水儿	yi1 shui3 r	"(famil.) du même type__identique"
一江春水向東流	一江春水向东流	yi1 jiang1 chun1 shui3 xiang4 dong1 liu2	"Les Larmes du Yangzi (film)"
一派胡言	一派胡言	yi1 pai4 hu2 yan2	"tas d'inepties"
一流	一流	yi1 liu2	"de qualité supérieure"
一清二楚	一清二楚	yi1 qing1 er4 chu3	"(expr. idiom.) clair comme le jour"
一溜煙	一溜烟	yi1 liu4 yan1	"vite__rapidement__en un rien de temps"
一炮打響	一炮打响	yi1 pao4 da3 xiang3	"(expr. idiom.) rencontrer immédiatement le succès__commencer avec succès"
一點	一点	yi1 dian3	"(un) peu de"
一點一滴	一点一滴	yi1 dian3 yi1 di1	"peu à peu__petit à petit"
一點也不	一点也不	yi1 dian3 ye3 bu4	"pas le moins du monde__il n'y a pas moyen__absolument pas"
一點兒	一点儿	yi1 dian3 r	"un peu"
一點就通	一点就通	yi1 dian3 jiu4 tong1	"comprendre l'autre sans avoir besoin d'explication"
一片	一片	yi1 pian4	"flaque"
一犯再犯	一犯再犯	yi1 fan4 zai4 fan4	"continuer (à faire la mauvaise chose)"
一生	一生	yi1 sheng1	"toute la vie"
一生一世	一生一世	yi1 sheng1 yi1 shi4	"(expr. idiom.) toute une vie__pour la vie__pour toujours__éternellement"
一甲子	一甲子	yi1 jia3 zi3	"jiazi__cycle de soixante ans"
一番	一番	yi1 fan1	"une fois"
一病不起	一病不起	yi1 bing4 bu4 qi3	"(expr. idiom.) tomber gravement malade et ne jamais récupérer"
一百	一百	yi1 bai3	"cent__100"
一盤散沙	一盘散沙	yi1 pan2 san3 sha1	"(expr. idiom.) comme du sable mouvant__incapable de coopérer__désunion complète__désordre"
一目瞭然	一目了然	yi1 mu4 liao3 ran2	"(expr. idiom.) s'en rendre compte d'un coup d'oeil__sauter aux yeux__en avoir une idée nette"
一直	一直	yi1 zhi2	"toujours__en continu__sans arrêt__tout droit__directement__d'une traite__sans interruption"
一直以來	一直以来	yi1 zhi2 yi3 lai2	"depuis toujours__jusqu'à maintenant"
一看	一看	yi1 kan4	"jeter un coup d'oeil"
一眨眼	一眨眼	yi1 zha3 yan3	"en un clin d'oeil"
一眼	一眼	yi1 yan3	"un coup d'oeil__un regard rapide__un aperçu"
一睹	一睹	yi1 du3	"regarder__avoir un coup d'oeil sur__observer (la splendeur de qch)"
一瞥	一瞥	yi1 pie1	"jeter un coup d'oeil__échantillon"
一瞬	一瞬	yi1 shun4	"en un clin d'oeil"
一瞬間	一瞬间	yi1 shun4 jian1	"fraction de seconde"
一矢中的	一矢中的	yi1 shi3 zhong4 di4	"(expr. idiom.) mettre dans le mille du premier coup"
一碗	一碗	yi1 wan3	"écuelle"
一秉虔誠	一秉虔诚	yi1 bing3 qian2 cheng2	"(expr. idiom.) consciencieusement__sérieusement et sincèrement"
一種	一种	yi1 zhong3	"un type de__un genre de"
一竅不通	一窍不通	yi1 qiao4 bu4 tong1	"(expr. idiom.) être complètement bouché__être stupide__ne rien comprendre (ou savoir) de__ignorer totalement qch__être une nullité__qch lui est totalement étranger"
一笑解千愁	一笑解千愁	yi1 xiao4 jie3 qian1 chou2	"(expr. idiom.) un sourire soulage mille tourments"
一等	一等	yi1 deng3	"de première classe"
一等獎	一等奖	yi1 deng3 jiang3	"premier prix"
一籌莫展	一筹莫展	yi1 chou2 mo4 zhan3	"être à court de moyens__ne savoir que faire__être à deux doigts de la crise"
一篇	一篇	yi4 pian1	"recto"
一類	一类	yi1 lei4	"même type__catégorie 1"
一系列	一系列	yi1 xi4 lie4	"suite__chaine"
一級	一级	yi1 ji2	"première classe__catégorie A"
一紙空文	一纸空文	yi1 zhi3 kong1 wen2	"(expr. idiom.) moins que rien"
一線	一线	yi1 xian4	"un rayon de__une lueur de"
一線聲機	一线声机	yi1 xian4 sheng1 ji1	"Cellular (film)"
一線希望	一线希望	yi1 xian4 xi1 wang4	"une lueur d'espoir"
一經	一经	yi1 jing1	"dès que__à peine__aussitôt que__une fois que"
一統	一统	yi1 tong3	"unifier__unifié"
一維	一维	yi1 wei2	"1D__unidimensionnel__à une dimension"
一網打盡	一网打尽	yi1 wang3 da3 jin4	"(expr. idiom.) tout capturer dans un coup de filet__éliminer d'un seul coup__donner un grand coup de balai__tout rafler__faire main basse sur le tout"
一群	一群	yi1 qun2	"escadron"
一群人	一群人	yi1 qun2 ren2	"une foule__un groupe de personne"
一而再，再而三	一而再，再而三	yi1 er2 zai4 , zai4 er2 san1	"encore et encore"
一肚皮	一肚皮	yi1 du4 pi2	"le ventre plein (de qch)__plein de (qch)"
一股	一股	yi1 gu3	"élément de convoi__élement de marche__rame de véhicules"
一股子	一股子	yi1 gu3 zi5	"une odeur de__une tache de__un filet de"
一胎制	一胎制	yi1 tai1 zhi4	"politique de l'enfant unique"
一脈相承	一脉相承	yi1 mai4 xiang1 cheng2	"(expr. idiom.) qui remonte à la même origine (en parlant de tendances, d'idées, etc.)"
一脈相通	一脉相通	yi1 mai4 xiang1 tong1	"être de la même veine__être en lien étroit"
一臉茫然	一脸茫然	yi1 lian3 mang2 ran2	"perplexe__déconcerté"
一腔	一腔	yi1 qiang1	"plein de (zèle, colère, etc.)"
一臂長	一臂长	yi1 bi4 zhang3	"brasse (unité de mesure)"
一致	一致	yi1 zhi4	"unanimement__à l'unanimité__identique__unanime"
一致性	一致性	yi1 zhi4 xing4	"homogénéité__cohérence__coordination"
一致資源定址器	一致资源定址器	yi1 zhi4 zi1 yuan2 ding4 zhi3 qi4	"Uniform Resource Locator__URL__adresse web"
一般	一般	yi1 ban1	"ordinaire__d'ordinaire__commun__aussi__tel__en général"
一般人	一般人	yi1 ban1 ren2	"personne quelconque"
一般性	一般性	yi1 ban1 xing4	"généralisé__en général"
一般方程	一般方程	yi4 ban1 fang1 cheng2	"équation canonique"
一般無二	一般无二	yi1 ban1 wu2 er4	"en tous points similaires__tout à fait identiques"
一般解	一般解	yi4 ban1 jie3	"solution générale (math.)"
一色	一色	yi1 se4	"uniforme__homogène"
一行	一行	yi1 xing2	"groupe__délégation__suite"
一見如故	一见如故	yi1 jian4 ru2 gu4	"sympathiser dès la première rencontre"
一見鍾情	一见钟情	yi1 jian4 zhong1 qing2	"(expr. idiom.) coup de foudre__tomber amoureux"
一視同仁	一视同仁	yi1 shi4 tong2 ren2	"(expr. idiom.) être impartial__traiter tout le monde à égalité__faire preuve d'une égale bonté à l'égard de tous__ne faire exception de personne__ne faire aucune discrimination"
一覽	一览	yi1 lan3	"un aperçu__un coup d'oeil"
一覽無餘	一览无余	yi1 lan3 wu2 yu2	"(expr. idiom.) avoir une vue panoramique__tout embrasser d'un coup d'oeil"
一覽錶	一览表	yi1 lan3 biao3	"tableau synoptique"
一觸即發	一触即发	yi1 chu4 ji2 fa1	"(expr. idiom.) menacer d'éclater au moindre choc__être à deux doigts de la crise"
一觸即潰	一触即溃	yi1 chu4 ji2 kui4	"s'effondrer au premier choc__fuir à la débandade"
一言	一言	yi1 yan2	"une phrase__brève remarque"
一言不發	一言不发	yi1 yan2 bu4 fa1	"(expr. idiom.) ne pas dire un mot__ne pas souffler mot__rester bouche cousue__ne pas desserrer les dents"
一言九鼎	一言九鼎	yi1 yan2 jiu3 ding3	"(expr. idiom.) une seule parole vaut neuf tripodes__parole qui fait autorité"
一言千金	一言千金	yi1 yan2 qian1 jin1	"(expr. idiom.) une parole qui vaut mille onces d'or__parole qui fait autorité__parole de poids"
一語道破	一语道破	yi1 yu3 dao4 po4	"(expr. idiom.) tout révéler en un seul mot__d'un seul mot percer à jour le secret"
一說	一说	yi1 shuo1	"(façon de) dire (qch)__déclaration__argument__théorie"
一諾千金	一诺千金	yi1 nuo4 qian1 jin1	"(expr. idiom.) une promesse (qui) vaut mille onces d'or__une promesse qui doit être tenue"
一貫	一贯	yi1 guan4	"toujours__de longue date__avec l'esprit de suite__conséquent__constant"
一起	一起	yi1 qi3	"ensemble__avec__en compagnie de__en tout"
一起玩	一起玩	yi4 qi3 wan2	"jouer ensemble"
